station,lat,lon,year,tmax,tmin,airfrost,rain,sun
Waddington,53.175,-0.522,1963,19.6,-4.3,6.08333333333333,45.2333333333333,116.575
Waddington,53.175,-0.522,1964,20.6,-0.4,4.58333333333333,31.8583333333333,120.058333333333
Waddington,53.175,-0.522,1965,19.1,0.4,5.08333333333333,63.9833333333333,117.866666666667
Waddington,53.175,-0.522,1966,20,-0.3,3.83333333333333,53.9916666666667,115.808333333333
Waddington,53.175,-0.522,1967,21.6,1,3.33333333333333,51.6416666666667,134.808333333333
Waddington,53.175,-0.522,1968,19.1,-0.8,4.91666666666667,53.8583333333333,109.016666666667
Waddington,53.175,-0.522,1969,21.6,-2.2,6,60.3666666666667,121.25
Waddington,53.175,-0.522,1970,21.6,-0.2,5,48.4416666666667,133.958333333333
Waddington,53.175,-0.522,1971,22,1.4,3.75,41.7666666666667,124.95
Waddington,53.175,-0.522,1972,19.6,1.1,2.83333333333333,46.8833333333333,110.241666666667
Waddington,53.175,-0.522,1973,20.9,0.8,3.75,45.25,132.75
Waddington,53.175,-0.522,1974,19.9,1.7,1.5,54.0416666666667,124.658333333333
Waddington,53.175,-0.522,1975,24.8,1.1,3.25,39.2166666666667,132.266666666667
Waddington,53.175,-0.522,1976,24.2,-0.5,4.25,45.475,134.191666666667
Waddington,53.175,-0.522,1977,19.8,0,3.16666666666667,50.4916666666667,126.275
Waddington,53.175,-0.522,1978,18.8,-1.2,4.66666666666667,57,110.916666666667
Waddington,53.175,-0.522,1979,20.9,-3.6,6.25,56.075,125.116666666667
Waddington,53.175,-0.522,1980,19.8,-0.8,3.58333333333333,61.9,121.816666666667
Waddington,53.175,-0.522,1981,20.7,-3.4,5.16666666666667,56.7,120.916666666667
Waddington,53.175,-0.522,1982,20.7,-1.2,4,50.1833333333333,130.65
Waddington,53.175,-0.522,1983,24.5,-1.2,3.58333333333333,49.9916666666667,120.958333333333
Waddington,53.175,-0.522,1984,22.2,-0.2,3.5,55.0833333333333,130.9
Waddington,53.175,-0.522,1985,20.2,-1.9,5.83333333333333,50.875,120.75
Waddington,53.175,-0.522,1986,20.4,-3.7,4.83333333333333,52.0416666666667,141.35
Waddington,53.175,-0.522,1987,19.5,-1.6,5,57.8583333333333,112.458333333333
Waddington,53.175,-0.522,1988,19.9,1.4,2.66666666666667,51.0666666666667,125.991666666667
Waddington,53.175,-0.522,1989,22.8,2,1.58333333333333,44.8333333333333,152.85
Waddington,53.175,-0.522,1990,24,1.9,1.25,38.4083333333333,145.633333333333
Waddington,53.175,-0.522,1991,22.9,-1,4.08333333333333,34.3,125.966666666667
Waddington,53.175,-0.522,1992,20.8,0.2,3.5,53.1,126.05
Waddington,53.175,-0.522,1993,19.4,1.9,3.25,54.5666666666667,116.975
Waddington,53.175,-0.522,1994,24.1,-0.7,2.58333333333333,51.2583333333333,132.683333333333
Waddington,53.175,-0.522,1995,24.4,-0.1,3.33333333333333,36.7666666666667,148.5
Waddington,53.175,-0.522,1996,22.1,-0.5,5.75,37.325,131.083333333333
Waddington,53.175,-0.522,1997,24,-0.8,2.33333333333333,50.3916666666667,132.666666666667
Waddington,53.175,-0.522,1998,20.7,1.9,2.58333333333333,52.5083333333333,116.375
Waddington,53.175,-0.522,1999,22.3,1.4,2.25,56.2916666666667,141.35
Waddington,53.175,-0.522,2000,21.7,1.7,2.25,63.8583333333333,125.483333333333
